title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,668291,
"The Specialist",movie,"Action, Drama, Thriller",1994,tt0111255,5.6,71200,
"Sleepy Hollow",movie,"Fantasy, Horror, Mystery",1999,tt0162661,7.3,396023,
Ringu,movie,"Horror, Mystery",1998,tt0178868,7.2,80876,
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,115796,
"The Addams Family",movie,"Comedy, Fantasy",1991,tt0101272,6.9,189411,
Roar,movie,"Adventure, Comedy, Thriller",1981,tt0083001,6.1,4873,
"One on Top of the Other",movie,"Drama, Horror, Mystery",1969,tt0065148,6.6,2821,
"Doctor Dolittle",movie,"Comedy, Family, Fantasy",1998,tt0118998,5.4,104288,
"The Searchers",movie,"Adventure, Drama, Western",1956,tt0049730,7.8,99303,
"Battle Royale",movie,"Adventure, Drama, Thriller",2000,tt0266308,7.5,199234,
"Battle Royale II",movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21792,
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,102496,
"Under Siege 2: Dark Territory",movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,51332,
"Black Sheep",movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42607,
"Flags of Our Fathers",movie,"Action, Adventure, Drama",2006,tt0418689,7.1,131396,
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,398886,
"That Man from Rio",movie,"Action, Adventure, Comedy",1964,tt0058203,7,6588,
"Women on the Verge of a Nervous Breakdown",movie,"Comedy, Drama",1988,tt0095675,7.5,48250,
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,411736,
"The Kingdom",movie,"Action, Drama, Thriller",2007,tt0431197,7,134536,
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11629,
Monster-in-Law,movie,"Comedy, Romance",2005,tt0369735,5.6,66945,
"My Super Ex-Girlfriend",movie,"Comedy, Romance, Sci-Fi",2006,tt0465624,5.2,67936,
"The Devil's Own",movie,"Action, Crime, Drama",1997,tt0118972,6.2,73811,
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15600,
"The Assassination of Jesse James by the Coward Robert Ford",movie,"Biography, Crime, Drama",2007,tt0443680,7.5,196921,
"Lady Vengeance",movie,"Crime, Drama, Thriller",2005,tt0451094,7.5,88438,
"The Machinist",movie,"Drama, Thriller",2004,tt0361862,7.6,425840,
"The Story of O",movie,Drama,1975,tt0073115,5.3,7187,
"The Sensuous Nurse",movie,Comedy,1975,tt0074682,4.8,882,
"Gone Baby Gone",movie,"Crime, Drama, Mystery",2007,tt0452623,7.6,299984,
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12525,
"The Jackal",movie,"Action, Crime, Drama",1997,tt0119395,6.4,127924,
"A Boy and His Dog",movie,"Comedy, Drama, Sci-Fi",1975,tt0072730,6.4,19970,
"The Curious Case of Benjamin Button",movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,715289,
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,15854,
"Lisa and the Devil",movie,"Horror, Mystery",1973,tt0068863,6.2,5633,
"Baron Blood",movie,Horror,1972,tt0069048,5.9,4463,
"A Bay of Blood",movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13495,
"Le Samouraï",movie,"Crime, Drama, Thriller",1967,tt0062229,8,61545,
"Donkey Skin",movie,"Comedy, Fantasy, Musical",1970,tt0066207,7,6851,
"Sky High",movie,"Action, Adventure, Drama",2002,tt0398563,6.1,1520,
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,141360,
"The Umbrellas of Cherbourg",movie,"Drama, Musical, Romance",1964,tt0058450,7.8,32774,
"The Family Man",movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,125333,
"Coyote Ugly",movie,"Comedy, Drama, Music",2000,tt0200550,5.7,123702,
"I Am Legend",movie,"Drama, Horror, Sci-Fi",2007,tt0480249,7.2,840990,
"27 Dresses",movie,"Comedy, Romance",2008,tt0988595,6.1,179523,
"Dan in Real Life",movie,"Comedy, Drama, Romance",2007,tt0480242,6.8,108649,
"The Man Without a Past",movie,"Comedy, Drama, Romance",2002,tt0311519,7.6,27297,
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,tt0238380,7.3,353365,
"Running Scared",movie,"Action, Crime, Drama",2006,tt0404390,7.3,104842,
"Sleeping with the Enemy",movie,"Drama, Thriller",1991,tt0102945,6.3,67719,
xXx,movie,"Action, Adventure, Drama",2002,tt0295701,5.8,189267,
"The Hitchhiker's Guide to the Galaxy",movie,"Adventure, Comedy, Sci-Fi",2005,tt0371724,6.7,211623,
"Speed Racer",movie,"Action, Adventure, Comedy",2008,tt0811080,6.1,80134,
Shooter,movie,"Action, Drama, Thriller",2007,tt0822854,7.1,364138,
"Ghost Train",movie,Horror,2006,tt0819839,4.9,930,
"Fun with Dick and Jane",movie,"Comedy, Crime",2005,tt0369441,6.2,157578,
Rambo,movie,"Action, Thriller",2008,tt0462499,7,249480,
