title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,616243,JP
"From Hell",movie,"Crime, Horror, Mystery",2001,tt0120681,6.7,167062,US
"Mr. & Mrs. Smith",movie,"Action, Comedy, Crime",2005,tt0356910,6.5,557803,JP
"Mrs. Doubtfire",movie,"Comedy, Drama",1993,tt0107614,7.1,300154,US
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,150730,JP
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1867121,JP
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,174205,JP
"Moulin Rouge!",movie,"Drama, Musical, Romance",2001,tt0203009,7.6,304439,US
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,184526,JP
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,282651,JP
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,437421,JP
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1543404,JP
Crash,movie,Drama,1996,tt0115964,6.4,68300,JP
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,258464,JP
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,116009,JP
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,283479,JP
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,193399,JP
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,182230,JP
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,175236,JP
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,741414,JP
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,450833,US
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,481742,JP
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,399127,JP
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,173001,JP
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117086,JP
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,257504,JP
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,118098,JP
"Ghost Rider",movie,"Action, Fantasy, Thriller",2007,tt0259324,5.3,257967,US
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,172499,JP
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,136072,"JP, US"
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,122833,JP
300,movie,"Action, Drama",2006,tt0416449,7.6,881274,JP
"The Dreamers",movie,"Drama, Romance",2003,tt0309987,7.1,135622,JP
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39415,JP
"Lights in the Dusk",movie,"Crime, Drama",2006,tt0458242,6.8,8270,JP
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,131425,US
Nostalghia,movie,Drama,1983,tt0086022,7.9,31116,JP
"La Vie En Rose",movie,"Biography, Drama, Music",2007,tt0450188,7.5,91837,JP
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1463131,JP
"The Warrior",movie,"Action, Drama, History",2001,tt0275083,7.2,11364,JP
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,175475,JP
Immortality,movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6239,JP
"Superman Returns",movie,"Action, Adventure, Sci-Fi",2006,tt0348150,6.1,294456,JP
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,236517,JP
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,170983,JP
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,443482,JP
"Office Space",movie,Comedy,1999,tt0151804,7.6,295495,US
"28 Weeks Later",movie,"Horror, Sci-Fi",2007,tt0463854,6.9,304211,US
"Live Free or Die Hard",movie,"Action, Thriller",2007,tt0337978,7.1,426350,US
"Die Hard with a Vengeance",movie,"Action, Adventure, Thriller",1995,tt0112864,7.6,416595,US
"Die Hard 2",movie,"Action, Thriller",1990,tt0099423,7.1,392879,US
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,247883,JP
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,259287,JP
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.1,108826,JP
Hitman,movie,"Action, Crime, Thriller",2007,tt0465494,6.2,181638,US
Speed,movie,"Action, Adventure, Thriller",1994,tt0111257,7.3,402557,US
"Speed 2: Cruise Control",movie,"Action, Adventure, Crime",1997,tt0120179,4,87522,JP
Crash,movie,"Crime, Drama, Thriller",2004,tt0375679,7.7,452888,JP
"A Time to Kill",movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,187260,JP
"Con Air",movie,"Action, Crime, Thriller",1997,tt0118880,6.9,326526,US
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,68556,JP
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,106447,JP
"The Mummy Returns",movie,"Action, Adventure, Fantasy",2001,tt0209163,6.4,353921,US
"Jesus Camp",movie,Documentary,2006,tt0486358,7.4,29029,US
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,74556,JP
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,689652,JP
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4727,JP
"The Beach",movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,258666,US
"The Others",movie,"Horror, Mystery, Thriller",2001,tt0230600,7.6,404264,JP
"The Bow",movie,"Drama, Romance",2005,tt0456470,7.1,11966,JP
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,37881,US
"Death Proof",movie,"Drama, Thriller",2007,tt1028528,7,320732,JP
"Planet Terror",movie,"Action, Comedy, Horror",2007,tt1077258,7,226828,JP
"The Mourning Forest",movie,Drama,2007,tt1016205,6.7,2950,JP
"The Wedding Planner",movie,"Comedy, Romance",2001,tt0209475,5.3,88706,US
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114341,JP
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,487722,JP
"The Lake House",movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,160170,JP
"I, Robot",movie,"Action, Mystery, Sci-Fi",2004,tt0343818,7.1,589280,US
"The Getaway",movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20269,US
"Gappa the Triphibian Monster",movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1791,JP
"L.A. Confidential",movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,633884,JP
"The Perfect Storm",movie,"Action, Adventure, Drama",2000,tt0177971,6.5,181962,JP
"Cop Land",movie,"Crime, Drama, Thriller",1997,tt0118887,7,109628,JP
Big,movie,"Comedy, Drama, Fantasy",1988,tt0094737,7.3,247068,US
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,176346,JP
"Executive Decision",movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,62717,JP
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,91611,JP
"Taxi 4",movie,"Action, Comedy, Crime",2007,tt0804540,5.6,31489,JP
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16531,JP
"The Young Girls of Rochefort",movie,"Comedy, Drama, Musical",1967,tt0062873,7.7,12594,JP
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,35521,JP
Eragon,movie,"Action, Adventure, Family",2006,tt0449010,5.1,131893,US
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,588597,JP
"The Bourne Supremacy",movie,"Action, Thriller",2004,tt0372183,7.7,495637,JP
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,667032,JP
"The Specialist",movie,"Action, Drama, Thriller",1994,tt0111255,5.6,71021,JP
"The Blair Witch Project",movie,"Horror, Mystery",1999,tt0185937,6.5,297516,JP
"Sleepy Hollow",movie,"Fantasy, Horror, Mystery",1999,tt0162661,7.3,394811,JP
Ringu,movie,"Horror, Mystery",1998,tt0178868,7.2,80512,JP
Signs,movie,"Drama, Mystery, Sci-Fi",2002,tt0286106,6.8,397176,US
"The Abyss",movie,"Adventure, Drama, Mystery",1989,tt0096754,7.5,198920,US
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,115276,JP
"The Addams Family",movie,"Comedy, Fantasy",1991,tt0101272,6.9,188659,JP
Roar,movie,"Adventure, Comedy, Thriller",1981,tt0083001,6.1,4837,JP
"One on Top of the Other",movie,"Horror, Mystery, Thriller",1969,tt0065148,6.6,2799,JP
"Doctor Dolittle",movie,"Comedy, Family, Fantasy",1998,tt0118998,5.4,104014,US
"The Searchers",movie,"Adventure, Drama, Western",1956,tt0049730,7.8,98797,JP
"Battle Royale",movie,"Adventure, Drama, Thriller",2000,tt0266308,7.5,198209,JP
"Battle Royale II",movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21730,JP
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,102312,JP
"Under Siege 2: Dark Territory",movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,51187,JP
Bogus,movie,"Comedy, Family, Fantasy",1996,tt0115725,5.4,7155,US
"Black Sheep",movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42542,JP
"Flags of Our Fathers",movie,"Action, Adventure, Drama",2006,tt0418689,7.1,131103,JP
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,396143,JP
"That Man from Rio",movie,"Action, Adventure, Comedy",1964,tt0058203,7,6540,JP
"Women on the Verge of a Nervous Breakdown",movie,"Comedy, Drama",1988,tt0095675,7.5,47921,JP
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,409292,JP
"The Kingdom",movie,"Action, Drama, Thriller",2007,tt0431197,7,134139,JP
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11594,JP
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15518,JP
"The Machinist",movie,"Drama, Thriller",2004,tt0361862,7.6,424354,JP
"The Story of O",movie,Drama,1975,tt0073115,5.3,7122,JP
"The Guardian",movie,"Adventure, Drama",2006,tt0406816,6.9,100023,US
"The Sensuous Nurse",movie,Comedy,1975,tt0074682,4.8,871,JP
"Gone Baby Gone",movie,"Crime, Drama, Mystery",2007,tt0452623,7.6,299238,JP
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12460,JP
"The Jackal",movie,"Action, Crime, Drama",1997,tt0119395,6.4,127382,JP
"A Boy and His Dog",movie,"Comedy, Drama, Sci-Fi",1975,tt0072730,6.4,19897,JP
"The Curious Case of Benjamin Button",movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,712413,JP
"10 Things I Hate About You",movie,"Comedy, Drama, Romance",1999,tt0147800,7.3,406740,US
"The Polar Express",movie,"Adventure, Animation, Comedy",2004,tt0338348,6.6,254314,US
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,15782,JP
"Fred Claus",movie,"Comedy, Family, Fantasy",2007,tt0486583,5.7,49292,US
"Lisa and the Devil",movie,"Horror, Mystery",1973,tt0068863,6.2,5604,JP
"Baron Blood",movie,Horror,1972,tt0069048,5.9,4445,JP
"A Bay of Blood",movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13407,JP
"Le Samouraï",movie,"Crime, Drama, Thriller",1967,tt0062229,8,61105,JP
"Donkey Skin",movie,"Comedy, Fantasy, Musical",1970,tt0066207,7,6771,JP
"National Lampoon's Christmas Vacation",movie,Comedy,1989,tt0097958,7.5,232860,US
"Sky High",movie,"Action, Adventure, Drama",2002,tt0398563,6.1,1520,JP
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,140993,JP
"The Umbrellas of Cherbourg",movie,"Drama, Musical, Romance",1964,tt0058450,7.8,32580,JP
"The Family Man",movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,124741,JP
"Six Days Seven Nights",movie,"Action, Adventure, Comedy",1998,tt0120828,5.9,84939,US
"I Am Legend",movie,"Drama, Horror, Sci-Fi",2007,tt0480249,7.2,838059,JP
"27 Dresses",movie,"Comedy, Romance",2008,tt0988595,6.1,178863,US
"Dan in Real Life",movie,"Comedy, Drama, Romance",2007,tt0480242,6.8,108397,US
"The Man Without a Past",movie,"Comedy, Drama, Romance",2002,tt0311519,7.6,27133,JP
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,tt0238380,7.3,352493,JP
"Running Scared",movie,"Action, Crime, Drama",2006,tt0404390,7.3,104656,JP
Juno,movie,"Comedy, Drama",2007,tt0467406,7.4,558231,US
"Speed Racer",movie,"Action, Adventure, Comedy",2008,tt0811080,6.1,79925,JP
Shooter,movie,"Action, Drama, Thriller",2007,tt0822854,7.1,363188,JP
Idiocracy,movie,"Adventure, Comedy, Sci-Fi",2006,tt0387808,6.5,194637,US
"Ghost Train",movie,Horror,2006,tt0819839,4.9,928,JP
Rambo,movie,"Action, Thriller",2008,tt0462499,7,248791,JP
"10,000 BC",movie,"Action, Adventure, Drama",2008,tt0443649,5.1,136876,JP
"Before the Devil Knows You're Dead",movie,"Crime, Drama, Thriller",2007,tt0292963,7.3,114712,US
"The Match Factory Girl",movie,"Comedy, Crime, Drama",1990,tt0098532,7.5,12420,JP
"Robin Hood: Men in Tights",movie,"Adventure, Comedy, Musical",1993,tt0107977,6.7,140164,US
"Behind Enemy Lines",movie,"Action, Drama, Thriller",2001,tt0159273,6.4,115071,US
"Band of Outsiders",movie,"Comedy, Crime, Drama",1964,tt0057869,7.6,27680,JP
Alien³,movie,"Action, Horror, Sci-Fi",1992,tt0103644,6.4,335954,US
"Alien Resurrection",movie,"Action, Horror, Sci-Fi",1997,tt0118583,6.2,277973,US
"Napoleon Dynamite",movie,Comedy,2004,tt0374900,7,244087,US
"Æon Flux",movie,"Action, Adventure, Sci-Fi",2005,tt0402022,5.4,134311,JP
"Drifting Clouds",movie,"Comedy, Drama",1996,tt0116752,7.6,9625,JP
Kika,movie,Comedy,1993,tt0107315,6.5,15396,JP
"Step Up 2: The Streets",movie,"Drama, Music, Romance",2008,tt1023481,6.2,92245,US
REC,movie,"Horror, Mystery, Thriller",2007,tt1038988,7.4,204012,JP
"Cast Away",movie,"Adventure, Drama, Romance",2000,tt0162222,7.8,655799,"JP, US"
"Transformers: Revenge of the Fallen",movie,"Action, Adventure, Sci-Fi",2009,tt1055369,6,437226,JP
"The Conformist",movie,Drama,1970,tt0065571,7.9,35498,JP
"Swallowtail Butterfly",movie,"Crime, Drama",1996,tt0117797,7.5,4579,JP
"The Happening",movie,"Adventure, Drama, Sci-Fi",2008,tt0949731,5,220926,US
"Deep Impact",movie,"Action, Drama, Sci-Fi",1998,tt0120647,6.3,195026,JP
"K-19: The Widowmaker",movie,"Drama, History, Thriller",2002,tt0267626,6.7,68908,"JP, US"
"Cannibals in the Streets",movie,"Drama, Fantasy, Horror",1980,tt0080379,5.5,4495,JP
"The League of Extraordinary Gentlemen",movie,"Action, Adventure, Fantasy",2003,tt0311429,5.8,186738,US
"The Final Countdown",movie,"Action, Adventure, Sci-Fi",1980,tt0080736,6.7,28028,JP
"Hellraiser: Bloodline",movie,"Horror, Sci-Fi",1996,tt0116514,5.1,25440,JP
"The Road Warrior",movie,"Action, Adventure, Sci-Fi",1981,tt0082694,7.6,205335,JP
"Conspiracy Theory",movie,"Action, Drama, Mystery",1997,tt0118883,6.7,109443,JP
"Under Siege",movie,"Action, Thriller",1992,tt0105690,6.5,97885,JP
"Dude, Where's My Car?",movie,"Comedy, Mystery, Sci-Fi",2000,tt0242423,5.5,148103,US
"Red Planet",movie,"Action, Sci-Fi, Thriller",2000,tt0199753,5.7,60588,JP
"Che: Part Two",movie,"Biography, Drama, History",2008,tt0374569,6.8,35522,JP
"Che: Part One",movie,"Biography, Drama, History",2008,tt0892255,7.1,48563,JP
"Deep Blue Sea",movie,"Action, Adventure, Sci-Fi",1999,tt0149261,5.9,146069,JP
"Jeepers Creepers",movie,"Horror, Mystery",2001,tt0263488,6.2,147988,JP
Twilight,movie,"Drama, Fantasy, Romance",2008,tt1099212,5.3,499064,US
"The Marine",movie,"Action, Comedy, Drama",2006,tt0419946,4.8,36429,US
Hellraiser,movie,"Horror, Thriller",1987,tt0093177,6.9,145734,JP
"The Great Silence",movie,"Drama, Western",1968,tt0063032,7.7,18807,JP
"The Banger Sisters",movie,"Comedy, Drama",2002,tt0280460,5.7,17588,US
"The Family Stone",movie,"Comedy, Drama, Romance",2005,tt0356680,6.3,79105,US
"Police Story",movie,"Action, Comedy, Crime",1985,tt0089374,7.5,43661,JP
"Hellbound: Hellraiser II",movie,"Horror, Thriller",1988,tt0095294,6.4,57905,JP
