title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Apartment",movie,"Comedy, Drama, Romance",1960,tt0053604,8.3,204505,"BR, CL, CO, MX"
"Swimming Pool",movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,49339,"AT, CH, DE, FR"
"Beverly Hills Cop III",movie,"Action, Comedy, Crime",1994,tt0109254,5.5,96522,"AR, AT, AU, BO, BR, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,30749,GB
"The Celebration",movie,Drama,1998,tt0154420,8,96196,DE
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,445741,US
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,388953,US
"Snow Cake",movie,"Drama, Romance",2006,tt0448124,7.4,13487,US
"The Million Dollar Hotel",movie,"Drama, Mystery, Thriller",2000,tt0120753,5.7,22726,"DE, US"
Insomnia,movie,"Drama, Mystery, Thriller",2002,tt0278504,7.2,325992,US
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146388,"CA, US"
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1099758,AU
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,453484,AU
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,348121,AU
Bollywood/Hollywood,movie,"Comedy, Drama, Musical",2002,tt0303785,5.9,2595,CA
Magnolia,movie,Drama,1999,tt0175880,8,334735,US
"Duck, You Sucker!",movie,"Drama, War, Western",1971,tt0067140,7.6,38866,BR
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,67810,DE
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,390564,US
"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,378415,GB
Head-On,movie,"Drama, Romance",2004,tt0347048,7.9,58790,DE
"To Catch a Thief",movie,"Mystery, Romance, Thriller",1955,tt0048728,7.4,82418,"DE, US"
"Das Boot",movie,"Drama, War",1981,tt0082096,8.4,273735,GB
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,406571,"AU, US"
"Lisbon Story",movie,"Drama, Music",1994,tt0110361,7.1,5561,DE
"A Fistful of Dollars",movie,"Drama, Western",1964,tt0058461,7.9,239850,BR
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,205197,US
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,826579,"BR, CL, CO, MX"
"Basic Instinct",movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,226477,GB
"The Straight Story",movie,"Biography, Drama",1999,tt0166896,8,100154,DE
"La haine",movie,"Crime, Drama",1995,tt0113247,8.1,206136,GB
"The English Patient",movie,"Drama, Romance, War",1996,tt0116209,7.4,206817,US
8½,movie,Drama,1963,tt0056801,8,127802,"DE, GB"
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,947829,"BR, CL, CO, DE, GB, IN, MX"
"My Uncle",movie,Comedy,1958,tt0050706,7.7,24802,DE
"The Good, the Bad and the Ugly",movie,"Adventure, Drama, Western",1966,tt0060196,8.8,837696,"BR, CL, CO, MX"
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,490775,US
"Cube²: Hypercube",movie,"Horror, Mystery, Sci-Fi",2002,tt0285492,5.5,71411,IN
"La Dolce Vita",movie,"Comedy, Drama",1960,tt0053779,8,80808,DE
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,87104,GB
"Leaving Las Vegas",movie,"Drama, Romance",1995,tt0113627,7.5,138552,"DE, GB"
"The Idiots",movie,"Comedy, Drama",1998,tt0154421,6.7,34662,DE
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1009600,"AT, CH, FR, GB, IE, IT"
"As It Is in Heaven",movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18542,DE
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,41543,DE
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,81945,US
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1112323,"AU, DE, US"
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,204662,"DE, GB"
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1457021,AU
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,28736,GB
"Reservoir Dogs",movie,"Crime, Thriller",1992,tt0105236,8.3,1117503,"BR, CL, CO, IN, MX"
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,551947,AU
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,356689,AU
Requiem,movie,"Drama, Horror",2006,tt0454931,6.9,6551,US
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,581663,"AU, DE"
"The Blues Brothers",movie,"Adventure, Comedy, Crime",1980,tt0080455,7.9,219361,AU
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,61124,"AR, AT, BO, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,741633,AU
"There's Something About Mary",movie,"Comedy, Romance",1998,tt0129387,7.1,335700,US
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,186460,GB
"The Poseidon Adventure",movie,"Action, Adventure, Drama",1972,tt0069113,7.1,50527,US
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,475286,AU
"The Ring",movie,"Horror, Mystery",2002,tt0298130,7.1,385175,IT
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,322597,"AU, US"
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,210708,AU
Jaws,movie,"Adventure, Drama, Horror",1975,tt0073195,8.1,683075,AU
"Jaws: The Revenge",movie,"Adventure, Horror, Thriller",1987,tt0093300,3,50926,AU
"Monty Python's Life of Brian",movie,Comedy,1979,tt0079470,8,426468,US
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,305447,AU
"Silent Hill",movie,"Horror, Mystery",2006,tt0384537,6.5,250169,CA
"The Hours",movie,"Drama, Romance",2002,tt0274558,7.5,143115,"AU, US"
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,467834,US
"The Conversation",movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,126598,"AT, CH, DE, FR, GB, IE, IT, US"
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,507837,"AT, CA, CH, DE, FR, GB, IE, IT, US"
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1319751,"CA, US"
"Sunset Boulevard",movie,"Drama, Film-Noir",1950,tt0043014,8.4,245095,"AT, CH, DE, FR, GB, IE, IT, US"
"E.T. the Extra-Terrestrial",movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,448548,"AU, US"
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,244503,"AT, CH, DE, FR, GB, IE, IT"
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,118485,"DE, GB"
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,134507,US
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,309526,"AT, CA, CH, DE, FR, GB, IE, IT, US"
"The Ninth Gate",movie,"Mystery, Thriller",1999,tt0142688,6.7,202176,"BR, CL, CO, IN, MX"
"A Fish Called Wanda",movie,"Comedy, Crime",1988,tt0095159,7.5,157297,BR
"The Killing Fields",movie,"Biography, Drama, History",1984,tt0087553,7.8,60899,DE
"Un chien andalou",movie,"Fantasy, Horror, Short",1929,tt0020530,7.6,54791,GB
Sunrise,movie,"Drama, Romance",1927,tt0018455,8.1,54781,GB
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,271171,"AU, BR, CL, CO, MX"
"Angel Heart",movie,"Horror, Mystery, Thriller",1987,tt0092563,7.2,98491,"GB, US"
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,765103,IT
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1139261,"CA, US"
"Requiem for a Dream",movie,Drama,2000,tt0180093,8.3,924707,IN
"Battleship Potemkin",movie,"Drama, History, Thriller",1925,tt0015648,7.9,62675,GB
"A.I. Artificial Intelligence",movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,328493,"AT, CA, CH, DE, FR, GB, IE, IT, US"
"Beauty and the Beast",movie,"Drama, Fantasy, Romance",1946,tt0038348,7.9,28717,GB
"Belle de Jour",movie,"Drama, Romance",1967,tt0061395,7.6,50523,"DE, GB"
Troy,movie,"Adventure, Drama",2004,tt0332452,7.3,585175,CA
"Nosferatu: A Symphony of Horror",movie,"Fantasy, Horror",1922,tt0013442,7.8,112132,GB
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,127634,GB
"The Marriage of Maria Braun",movie,"Drama, Romance",1979,tt0079095,7.7,15370,"DE, GB"
"Saw IV",movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,169390,"BR, CO, IN, MX"
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,662696,"AU, DE, GB, IT"
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2291114,"AT, CH, DE, FR, GB, IE, IT, US"
"Dead Man Walking",movie,"Crime, Drama",1995,tt0112818,7.5,103563,"BR, CL, CO, MX"
Pickpocket,movie,"Crime, Drama",1959,tt0053168,7.6,26112,GB
"Meet the Fockers",movie,"Comedy, Romance",2004,tt0290002,6.3,292459,"AT, AU, CH, DE, FR, GB, IE, IT"
"Effi Briest",movie,"Drama, History",1974,tt0071458,6.9,2808,DE
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,97239,DE
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,24830,GB
"Top Gun",movie,"Action, Drama",1986,tt0092099,6.9,518155,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Shaun of the Dead",movie,"Comedy, Horror",2004,tt0365748,7.9,611470,"AU, US"
Face/Off,movie,"Action, Crime, Sci-Fi",1997,tt0119094,7.3,410161,"CA, US"
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,349815,"AT, CH, DE, FR, GB, IE, IT"
"Monty Python and the Holy Grail",movie,"Adventure, Comedy, Fantasy",1975,tt0071853,8.2,581546,US
"Evil Dead II",movie,"Comedy, Horror",1987,tt0092991,7.7,187465,"AT, BR, CH, CL, CO, MX"
"Army of Darkness",movie,"Comedy, Horror",1992,tt0106308,7.4,200043,BR
"A Trip to the Moon",movie,"Adventure, Comedy, Fantasy",1902,tt0000417,8.1,57581,DE
"The Rules of the Game",movie,"Comedy, Drama",1939,tt0031885,7.9,32055,GB
"The Grand Illusion",movie,"Drama, War",1937,tt0028950,8.1,39709,DE
"Monsieur Hulot's Holiday",movie,Comedy,1953,tt0046487,7.3,20758,"DE, GB"
Vampyr,movie,"Fantasy, Horror",1932,tt0023649,7.4,21335,GB
"The Passion of Joan of Arc",movie,"Biography, Drama, History",1928,tt0019254,8.1,63306,"DE, GB"
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,242446,AU
Persona,movie,"Drama, Thriller",1966,tt0060827,8,134176,"DE, GB"
"Annaluise & Anton",movie,"Comedy, Drama, Family",1999,tt0161935,7,1083,DE
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,150730,"AT, CH, DE, FR, GB, IE, IT"
"Rosemary's Baby",movie,"Drama, Horror",1968,tt0063522,8,244873,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,758824,AU
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,520868,AU
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,341458,AU
Airplane!,movie,Comedy,1980,tt0080339,7.7,269271,"AT, AU, CA, CH, DE, FR, GB, IE, IT"
"An American Werewolf in London",movie,"Comedy, Horror",1981,tt0082010,7.5,126483,"BR, CL, CO, IN, MX"
"Animal Farm",movie,"Comedy, Drama, Family",1999,tt0204824,6,6614,AU
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,174205,DE
"Judgment at Nuremberg",movie,"Drama, War",1961,tt0055031,8.3,89038,"CL, CO, MX"
"The Bridge on the River Kwai",movie,"Adventure, Drama, War",1957,tt0050212,8.1,239002,AU
Chinatown,movie,"Drama, Mystery, Thriller",1974,tt0071315,8.1,359955,"AT, CH, DE, FR, GB, IE, IT"
M,movie,"Crime, Mystery, Thriller",1931,tt0022100,8.3,174456,GB
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,184526,"BR, CL, CO, IN, MX"
Dragonslayer,movie,"Action, Adventure, Fantasy",1981,tt0082288,6.6,20590,US
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,282651,US
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,433408,CA
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1543404,"CA, DE, US"
WarGames,movie,"Action, Drama, Sci-Fi",1983,tt0086567,7.1,114508,"BR, CL, CO, MX"
"Total Recall",movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,363235,"BR, CL, CO, MX, US"
