title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Silent Hill",movie,"Horror, Mystery",2006,tt0384537,6.5,250838,
"The Hours",movie,"Drama, Romance",2002,tt0274558,7.5,143471,
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,469205,
"The Conversation",movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,127415,
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,509503,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1325580,
"Sunset Boulevard",movie,"Drama, Film-Noir",1950,tt0043014,8.4,246235,
"E.T. the Extra-Terrestrial",movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,450248,
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,245437,
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,119005,
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,135023,
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,310845,
"The Ninth Gate",movie,"Mystery, Thriller",1999,tt0142688,6.7,202916,
"The Killing Fields",movie,"Biography, Drama, History",1984,tt0087553,7.8,61095,
"Un chien andalou",movie,"Fantasy, Horror, Short",1929,tt0020530,7.6,54975,
Sunrise,movie,"Drama, Romance",1927,tt0018455,8.1,54997,
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,272843,
"Angel Heart",movie,"Horror, Mystery, Thriller",1987,tt0092563,7.2,98891,
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,768587,
"When Harry Met Sally...",movie,"Comedy, Drama, Romance",1989,tt0098635,7.7,252602,
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1147274,
"Requiem for a Dream",movie,Drama,2000,tt0180093,8.3,928812,
"Battleship Potemkin",movie,"Drama, History, Thriller",1925,tt0015648,7.9,62885,
"A.I. Artificial Intelligence",movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,329303,
"Beauty and the Beast",movie,"Drama, Fantasy, Romance",1946,tt0038348,7.9,28816,
"Belle de Jour",movie,"Drama, Romance",1967,tt0061395,7.6,50795,
Troy,movie,"Adventure, Drama",2004,tt0332452,7.3,587425,
"Nosferatu: A Symphony of Horror",movie,"Fantasy, Horror",1922,tt0013442,7.8,116658,
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,128970,
"The Marriage of Maria Braun",movie,"Drama, Romance",1979,tt0079095,7.7,15425,
"Saw IV",movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,169959,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,667899,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2302600,
Pickpocket,movie,"Crime, Drama",1959,tt0053168,7.6,26249,
"Meet the Fockers",movie,"Comedy, Romance",2004,tt0290002,6.3,293500,
"Effi Briest",movie,"Drama, History",1974,tt0071458,6.9,2820,
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,97578,
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,24910,
"Top Gun",movie,"Action, Drama",1986,tt0092099,6.9,520491,
"Shaun of the Dead",movie,"Comedy, Horror",2004,tt0365748,7.9,614210,
Face/Off,movie,"Action, Crime, Sci-Fi",1997,tt0119094,7.3,411605,
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,351461,
"Monty Python and the Holy Grail",movie,"Adventure, Comedy, Fantasy",1975,tt0071853,8.2,583077,
