title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Harry Potter and the Goblet of Fire",movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,712742,
"Harry Potter and the Order of the Phoenix",movie,"Action, Adventure, Family",2007,tt0373889,7.5,662016,
"Pearl Harbor",movie,"Action, Drama, Romance",2001,tt0213149,6.2,360046,
Aliens,movie,"Action, Adventure, Horror",1986,tt0090605,8.4,804448,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2318435,
"The Bridges of Madison County",movie,"Drama, Romance",1995,tt0112579,7.6,92441,
"The Shining",movie,"Drama, Horror",1980,tt0081505,8.4,1159361,
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,97969,
"The Sixth Sense",movie,"Drama, Mystery, Thriller",1999,tt0167404,8.2,1092668,
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,115323,
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1209908,
Faces,movie,Drama,1968,tt0062952,7.4,12246,
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,352829,
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,623731,
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1315240,
"Gone with the Wind",movie,"Drama, Romance, War",1939,tt0031381,8.2,344617,
"Home Alone",movie,"Comedy, Family",1990,tt0099785,7.7,692388,
"Home Alone 2: Lost in New York",movie,"Adventure, Comedy, Crime",1992,tt0104431,6.9,426575,
"Little Miss Sunshine",movie,"Comedy, Drama",2006,tt0449059,7.8,534589,
"Mr. & Mrs. Smith",movie,"Action, Comedy, Crime",2005,tt0356910,6.5,563949,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,151852,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1894760,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,255251,
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,175549,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,284287,
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,443076,
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1559145,
"Planet of the Apes",movie,"Action, Adventure, Sci-Fi",2001,tt0133152,5.7,237482,
"The Color Purple",movie,Drama,1985,tt0088939,7.7,100490,
Crash,movie,Drama,1996,tt0115964,6.4,69094,
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,260595,
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,116654,
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,285363,
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,194700,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,183288,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,176163,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,749807,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,485761,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,401994,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,174177,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1504021,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117499,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,259904,
