title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,92169,
"Taxi 4",movie,"Action, Comedy, Crime",2007,tt0804540,5.6,31699,
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16606,
"The Young Girls of Rochefort",movie,"Comedy, Drama, Musical",1967,tt0062873,7.7,12741,
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,35903,
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,591278,
"The Bourne Supremacy",movie,"Action, Thriller",2004,tt0372183,7.7,497582,
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,668838,
"The Specialist",movie,"Action, Drama, Thriller",1994,tt0111255,5.6,71292,
"Sleepy Hollow",movie,"Fantasy, Horror, Mystery",1999,tt0162661,7.3,396649,
Ringu,movie,"Horror, Mystery",1998,tt0178868,7.2,81037,
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,116002,
"The Addams Family",movie,"Comedy, Fantasy",1991,tt0101272,6.9,189670,
Roar,movie,"Adventure, Comedy, Thriller",1981,tt0083001,6.1,4884,
"One on Top of the Other",movie,"Drama, Horror, Mystery",1969,tt0065148,6.6,2829,
"Doctor Dolittle",movie,"Comedy, Family, Fantasy",1998,tt0118998,5.4,104435,
"The Searchers",movie,"Adventure, Drama, Western",1956,tt0049730,7.8,99477,
"Battle Royale",movie,"Adventure, Drama, Thriller",2000,tt0266308,7.5,199584,
"Battle Royale II",movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21821,
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,102584,
"Under Siege 2: Dark Territory",movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,51398,
"Black Sheep",movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42635,
"Flags of Our Fathers",movie,"Action, Adventure, Drama",2006,tt0418689,7.1,131504,
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,399744,
"That Man from Rio",movie,"Action, Adventure, Comedy",1964,tt0058203,7,6603,
"Women on the Verge of a Nervous Breakdown",movie,"Comedy, Drama",1988,tt0095675,7.5,48387,
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,412798,
"Eat the Rich",movie,"Action, Comedy, Crime",1987,tt0092944,5.8,1652,
"The Kingdom",movie,"Action, Drama, Thriller",2007,tt0431197,7,134638,
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11644,
Monster-in-Law,movie,"Comedy, Romance",2005,tt0369735,5.6,67036,
"My Super Ex-Girlfriend",movie,"Comedy, Romance, Sci-Fi",2006,tt0465624,5.2,68002,
"The Devil's Own",movie,"Action, Crime, Drama",1997,tt0118972,6.2,73986,
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15625,
"The Assassination of Jesse James by the Coward Robert Ford",movie,"Biography, Crime, Drama",2007,tt0443680,7.5,197145,
"Lady Vengeance",movie,"Crime, Drama, Thriller",2005,tt0451094,7.5,88594,
"The Machinist",movie,"Drama, Thriller",2004,tt0361862,7.6,426536,
"The Story of O",movie,Drama,1975,tt0073115,5.3,7199,
"The Sensuous Nurse",movie,Comedy,1975,tt0074682,4.8,884,
"Gone Baby Gone",movie,"Crime, Drama, Mystery",2007,tt0452623,7.6,300413,
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12562,
"The Jackal",movie,"Action, Crime, Drama",1997,tt0119395,6.4,128146,
"A Boy and His Dog",movie,"Comedy, Drama, Sci-Fi",1975,tt0072730,6.4,19994,
"The Curious Case of Benjamin Button",movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,716606,
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,15884,
"Lisa and the Devil",movie,"Horror, Mystery",1973,tt0068863,6.2,5652,
"Baron Blood",movie,Horror,1972,tt0069048,5.9,4465,
"A Bay of Blood",movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13528,
"Le Samouraï",movie,"Crime, Drama, Thriller",1967,tt0062229,8,61731,
"Donkey Skin",movie,"Comedy, Fantasy, Musical",1970,tt0066207,7,6878,
"Sky High",movie,"Action, Adventure, Drama",2002,tt0398563,6.1,1520,
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,141506,
"The Umbrellas of Cherbourg",movie,"Drama, Musical, Romance",1964,tt0058450,7.8,32870,
"The Family Man",movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,125502,
"Coyote Ugly",movie,"Comedy, Drama, Music",2000,tt0200550,5.7,123874,
"I Am Legend",movie,"Drama, Horror, Sci-Fi",2007,tt0480249,7.2,842518,
"27 Dresses",movie,"Comedy, Romance",2008,tt0988595,6.1,179883,
"Dan in Real Life",movie,"Comedy, Drama, Romance",2007,tt0480242,6.8,108726,
"The Man Without a Past",movie,"Comedy, Drama, Romance",2002,tt0311519,7.6,27403,
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,tt0238380,7.3,353692,
"Running Scared",movie,"Action, Crime, Drama",2006,tt0404390,7.3,104913,
Juno,movie,"Comedy, Drama",2007,tt0467406,7.4,560024,
"Sleeping with the Enemy",movie,"Drama, Thriller",1991,tt0102945,6.3,67913,
xXx,movie,"Action, Adventure, Drama",2002,tt0295701,5.8,189445,
"The Hitchhiker's Guide to the Galaxy",movie,"Adventure, Comedy, Sci-Fi",2005,tt0371724,6.7,211819,
"Speed Racer",movie,"Action, Adventure, Comedy",2008,tt0811080,6.1,80224,
